getsockname(4, {sa_family=AF_INET, sin_port=htons(8000), sin_addr=inet_addr("127.0.0.1")}, [16]) = 0
mmap(0x817e0000, 20480, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817e0000
mprotect(0x817e0000, 20480, PROT_READ)  = 0
read(4, "G", 1)                         = 1
read(4, "E", 1)                         = 1
read(4, "T", 1)                         = 1
read(4, " ", 1)                         = 1
read(4, "/", 1)                         = 1
read(4, " ", 1)                         = 1
mmap(0x817df000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817df000
mprotect(0x817df000, 4096, PROT_READ)   = 0
mmap(0x817de000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817de000
mprotect(0x817de000, 4096, PROT_READ)   = 0
mmap(0x817dd000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817dd000
mprotect(0x817dd000, 4096, PROT_READ)   = 0
mmap(0x817dc000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817dc000
mprotect(0x817dc000, 4096, PROT_READ)   = 0
read(4, "H", 1)                         = 1
mmap(0x817db000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817db000
mprotect(0x817db000, 4096, PROT_READ)   = 0
read(4, "T", 1)                         = 1
read(4, "T", 1)                         = 1
read(4, "P", 1)                         = 1
read(4, "/", 1)                         = 1
read(4, "1", 1)                         = 1
read(4, ".", 1)                         = 1
read(4, "1", 1)                         = 1
read(4, "\r", 1)                        = 1
read(4, "\n", 1)                        = 1
mmap(0x817da000, 4096, PROT_READ|PROT_WRITE, MAP_PRIVATE|MAP_FIXED|MAP_ANONYMOUS, -1, 0) = 0x817da000
mprotect(0x817da000, 4096, PROT_READ)   = 0
read(4, "U", 1)                         = 1
read(4, "s", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "r", 1)                         = 1
read(4, "-", 1)                         = 1
read(4, "A", 1)                         = 1
read(4, "g", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "n", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, ":", 1)                         = 1
read(4, " ", 1)                         = 1
read(4, "W", 1)                         = 1
read(4, "g", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, "/", 1)                         = 1
read(4, "1", 1)                         = 1
read(4, ".", 1)                         = 1
read(4, "2", 1)                         = 1
read(4, "1", 1)                         = 1
read(4, "\r", 1)                        = 1
read(4, "\n", 1)                        = 1
read(4, "A", 1)                         = 1
read(4, "c", 1)                         = 1
read(4, "c", 1)                         = 1
read(4, "e", 1)                         = 1
read(4, "p", 1)                         = 1
read(4, "t", 1)                         = 1
read(4, ":", 1)                         = 1
read(4, " ", 1)                         = 1
read(4, "*", 1)                         = 1
read(4, "/", 1)                         = 1
read(4, "*", 1)                         = 1
read(4, "\r", 1)                        = 1
read(4, "\n", 1)                        = 1
read(4, "A", 1)                         = 1
read(4, "c", 1)                         = 1
read(4, "c", 1)                         = 1
read(4, "e", 1)                         = 1
